train_index,average_score
0,22496.21484375
1,5351.3291015625
2,12825.2587890625
3,4626.8330078125
4,2105.93212890625
5,-3234.366943359375
6,10929.48828125
7,12165.255859375
8,23537.02734375
9,17534.92578125
10,46083.0703125
11,8364.943359375
12,12706.638671875
13,38689.3671875
14,8250.357421875
15,132022.796875
16,11415.6162109375
17,13736.6123046875
18,24942.900390625
19,4391.2587890625
20,71311.5625
21,55131.01953125
22,885.7366943359375
23,7823.3046875
24,-492.36676025390625
25,7884.15771484375
26,31416.021484375
27,17296.626953125
28,48099.76171875
29,-4522.37060546875
30,3048.91650390625
31,1761.997314453125
32,16983.28125
33,12489.01171875
34,22316.869140625
35,1748.998046875
36,9333.630859375
37,-347.34637451171875
38,23277.896484375
39,335.99786376953125
40,8794.884765625
41,19386.279296875
42,14408.328125
43,29964.671875
44,12408.5791015625
45,36172.203125
46,8977.3828125
47,-3920.66650390625
48,572.75927734375
49,11233.146484375
50,130933.3359375
51,18987.64453125
52,9639.23828125
53,12642.1474609375
54,7924.48583984375
55,8243.013671875
56,4142.5029296875
57,96010.734375
58,11778.7587890625
59,1194.065185546875
60,14646.931640625
61,27097.537109375
62,-301.8411560058594
63,-254.963623046875
64,12011.462890625
65,6300.2021484375
66,107179.671875
67,11065.4541015625
68,37509.25390625
69,2208.306884765625
70,1212.0535888671875
71,14963.5810546875
72,27762.28125
73,4169.70947265625
74,25540.5625
75,17112.375
76,20505.97265625
77,38915.27734375
78,8532.498046875
79,-4119.33544921875
80,1342.0975341796875
81,11217.6044921875
82,8564.90234375
83,-3635.565673828125
84,8038.94384765625
85,6397.013671875
86,29327.22265625
87,1999.8470458984375
88,16801.11328125
89,10340.056640625
90,2416.055419921875
91,-2220.6708984375
92,1503.9625244140625
93,45929.00390625
94,33112.14453125
95,9872.833984375
96,14046.7861328125
97,28124.75390625
98,-488.55987548828125
99,29960.568359375
100,24938.634765625
101,16435.02734375
102,22819.0859375
103,14771.474609375
104,60830.6796875
105,17615.947265625
106,52924.9609375
107,37522.4375
108,4633.9140625
109,41786.3359375
110,34839.9140625
111,38062.8515625
112,6006.568359375
113,18419.63671875
114,34070.9609375
115,21292.822265625
116,9078.8046875
117,16754.51953125
118,25251.98828125
119,2993.552490234375
120,35056.49609375
121,20863.97265625
122,10105.224609375
123,-1571.45751953125
124,36483.765625
125,-2430.336669921875
126,43532.51953125
127,19224.078125
128,1737.8441162109375
129,18900.51171875
130,48900.98828125
131,8326.982421875
132,15409.8125
133,19059.166015625
134,2411.180419921875
135,6277.1357421875
136,19986.94140625
137,17771.994140625
138,6573.52197265625
139,37099.15234375
140,50542.4375
141,24265.50390625
142,18331.2421875
143,17098.3203125
144,109349.765625
145,9972.9541015625
146,47514.4921875
147,6137.50927734375
148,13455.734375
149,710.3038940429688
150,16827.48046875
151,13137.255859375
152,2797.19482421875
153,27942.15234375
154,15781.876953125
155,21565.90625
156,-680.0053100585938
157,21295.51953125
158,16403.537109375
159,2901.460205078125
160,10894.62109375
161,6678.421875
162,11183.8125
163,4529.5849609375
164,-1183.0863037109375
165,16870.98046875
166,1185.4976806640625
167,8250.3076171875
168,7658.5849609375
169,11873.755859375
170,4924.3037109375
171,12327.0576171875
172,13393.2685546875
173,16188.890625
174,30832.84375
175,5295.3623046875
176,16521.625
177,13674.341796875
178,51675.65234375
179,3989.241455078125
180,33081.91015625
181,10856.615234375
182,818.0020751953125
183,10300.923828125
184,111399.3359375
185,10292.703125
186,4130.84716796875
187,20670.66796875
188,24229.83984375
189,32144.21875
190,1134.4866943359375
191,-3709.83056640625
192,15982.841796875
193,-5719.123046875
194,11020.302734375
195,18412.1796875
196,5105.369140625
197,5932.05419921875
198,11167.8486328125
199,14159.8876953125
200,37829.1875
201,-1605.0814208984375
202,17277.009765625
203,23188.3125
204,21372.537109375
205,9386.0419921875
206,9360.6083984375
207,-585.4720458984375
208,11292.6640625
209,8638.52734375
210,3507.25732421875
211,12343.0341796875
212,1669.316162109375
213,16094.919921875
214,44247.09765625
215,3932.92041015625
216,31421.94140625
217,44576.80859375
218,7507.2646484375
219,48141.88671875
220,45794.45703125
221,55349.8984375
222,55278.33203125
223,26084.1328125
224,86405.2265625
225,14180.6435546875
226,55220.6875
227,28233.203125
228,40840.07421875
229,27012.634765625
230,44195.8828125
231,120666.796875
232,5101.4443359375
233,11165.091796875
234,-6587.796875
235,37361.84765625
236,38432.7109375
237,60787.1484375
238,25003.455078125
239,120805.4765625
240,33655.53125
241,11520.1953125
242,31317.087890625
243,25178.28515625
244,37541.8671875
245,108480.796875
246,33182.984375
247,93016.984375
248,113110.8125
249,28818.05078125
250,36482.54296875
251,17383.638671875
252,60007.48046875
253,1979.699951171875
254,48943.19921875
255,19146.380859375
256,20001.6796875
257,20452.7578125
258,1129.0631103515625
259,71960.3515625
260,71161.875
261,35972.87109375
262,30447.287109375
263,71898.4140625
264,120707.421875
265,15152.388671875
266,-2273.4658203125
267,-76.9830093383789
268,2427.01611328125
269,7843.6376953125
270,2914.08056640625
271,24175.916015625
272,99415.234375
273,-1024.2962646484375
274,4172.8466796875
275,6667.19775390625
276,17747.666015625
277,28889.828125
278,18256.943359375
279,3307.938232421875
280,6022.23095703125
281,12778.5078125
282,11660.001953125
283,3986.76025390625
284,15979.091796875
285,-779.0516967773438
286,7295.875
287,6781.51416015625
288,9940.9091796875
289,8607.6533203125
290,70270.3359375
291,17001.361328125
292,28.5166015625
293,25687.13671875
294,12182.5419921875
295,14526.513671875
296,6701.67041015625
297,34278.86328125
298,-3961.45361328125
299,8590.322265625
300,16631.43359375
301,-1971.6781005859375
302,9831.0537109375
303,6318.01904296875
304,13374.8076171875
305,54074.21875
306,247.9182586669922
307,4617.265625
308,38046.6640625
309,10304.931640625
310,4653.75634765625
311,18838.90234375
312,109159.671875
313,40666.6953125
314,88376.375
315,20982.396484375
316,54174.76171875
317,75033.421875
318,6958.9921875
319,43969.63671875
320,20526.318359375
321,38143.6015625
322,-5216.90869140625
323,-3948.21484375
324,112531.8359375
325,-1479.281982421875
326,16188.9140625
327,9918.744140625
328,23295.376953125
329,11037.7900390625
330,2863.25732421875
331,7885.3046875
332,5300.43505859375
333,8197.0830078125
334,5089.1708984375
335,-5567.6376953125
336,-5723.9140625
337,2005.065185546875
338,8065.5849609375
339,15362.962890625
340,-1266.725830078125
341,11763.6181640625
342,12640.5234375
343,6150.71826171875
344,9897.677734375
345,67949.71875
346,6265.75732421875
347,-6212.0263671875
